"n_total","range","lambda","parameter","MAE.GHK","MAE.GQT","pct_diff"
25,0.1,1,"Intercept",0.194287952111732,0.18962502985129,-2.40000587260291
25,0.1,5,"Intercept",0.0859971745805037,0.0854487762270654,-0.637693454597114
25,0.1,10,"Intercept",0.0581875575637241,0.0579395679138193,-0.426190168977622
25,0.3,1,"Intercept",0.320701132682227,0.28888645067205,-9.92035224325238
25,0.3,5,"Intercept",0.163135640632032,0.164487298396492,0.828548414817778
25,0.3,10,"Intercept",0.113178400836556,0.113289359446939,0.0980386801386682
25,0.5,1,"Intercept",0.519605365459907,0.345826984968823,-33.4443006255856
25,0.5,5,"Intercept",0.203927332324271,0.205346815070183,0.696072826400091
25,0.5,10,"Intercept",0.134485913357897,0.133685066579601,-0.595487481402272
49,0.1,1,"Intercept",0.173242534512679,0.167073591269256,-3.56087104173086
49,0.1,5,"Intercept",0.0724398749131822,0.0730188214400359,0.799209727443003
49,0.1,10,"Intercept",0.0573262197162856,0.057364780317999,0.067265209365449
49,0.3,1,"Intercept",0.310314731155361,0.26932684342553,-13.2084891932863
49,0.3,5,"Intercept",0.153744653909033,0.155004876351146,0.819685374464664
49,0.3,10,"Intercept",0.101598818064832,0.102724329932707,1.10780015881406
49,0.5,1,"Intercept",0.412859100797254,0.354990651696573,-14.016512894819
49,0.5,5,"Intercept",0.203381826614114,0.200606822182256,-1.36443087273663
49,0.5,10,"Intercept",0.13964755279693,0.139940903285391,0.210064897369454
25,0.1,1,"range",0.0971687325928767,0.108480280061627,11.6411392501582
25,0.1,5,"range",0.101007349070648,0.0999982825376926,-0.999003084666274
25,0.1,10,"range",0.0951153235717715,0.0947506108769832,-0.383442626374571
25,0.3,1,"range",0.163245129433928,0.159622383353616,-2.21920622861733
25,0.3,5,"range",0.119202099799183,0.115492706058266,-3.11185268310411
25,0.3,10,"range",0.131406533006764,0.129891532278664,-1.15291126965627
25,0.5,1,"range",0.220716350221653,0.207688703822962,-5.90243830400787
25,0.5,5,"range",0.1580741741495,0.153462002189363,-2.91772643124763
25,0.5,10,"range",0.158056076357219,0.156540830575814,-0.958676070117977
49,0.1,1,"range",0.0792418036610061,0.0639245835891733,-19.3297216420759
49,0.1,5,"range",0.0774967061425119,0.0832091232604421,7.37117408245111
49,0.1,10,"range",0.0773320700702499,0.0786202091834607,1.66572433925618
49,0.3,1,"range",0.0997088532472727,0.0969897587657749,-2.72703415287971
49,0.3,5,"range",0.0698654285597846,0.0668651378720621,-4.29438529122482
49,0.3,10,"range",0.0605367961666883,0.0598640713607019,-1.111265954898
49,0.5,1,"range",0.155528465335103,0.141192642580751,-9.21749129554126
49,0.5,5,"range",0.106405458011505,0.101939834400618,-4.19679938824655
49,0.5,10,"range",0.109169018656032,0.107533215590226,-1.49841327323864
