"missing_rate","parameter","MAE.GHK","MAE.GQT"
0,"Intercept",0.156354382852261,0.158533511704075
0.1,"Intercept",0.160828258544405,0.161416138788354
0.2,"Intercept",0.160533429211956,0.161870151889594
0.3,"Intercept",0.159308275565851,0.160089161777531
0.5,"Intercept",0.170873818472117,0.168886265974201
0,"range",0.0677529021749009,0.0659747260929081
0.1,"range",0.0751710544054871,0.0729159332744017
0.2,"range",0.0766017600536739,0.0761183072331795
0.3,"range",0.089232802472905,0.0867497210227368
0.5,"range",0.10831257607128,0.106620202609183
