"p0","method","parameter","MAE.poisson","MAE.zip","pct"
0,"GHK","Intercept",0.153465633339232,0.153811483288654,-0.224853139718373
0,"GQT","Intercept",0.155072427176258,0.155049827677068,0.0145756364444831
0.2,"GHK","Intercept",0.220572094159621,0.218401041484452,0.994066997305689
0.2,"GQT","Intercept",0.23532575176787,0.203073510682281,15.8820522564609
0.4,"GHK","Intercept",0.28733301922893,0.284608215162833,0.957387707357148
0.4,"GQT","Intercept",0.304475812005956,0.22849253873553,33.2541594972487
0,"GHK","range",0.0749316842004977,0.0778525021005508,-3.75173285539446
0,"GQT","range",0.0732865087759228,0.0763952093970734,-4.06923502885217
0.2,"GHK","range",0.192422713124842,0.104541584773866,84.0633213482197
0.2,"GQT","range",0.192917172508677,0.12478881227583,54.5949264123597
0.4,"GHK","range",0.21022869292651,0.144060648140966,45.9306865819437
0.4,"GQT","range",0.209788771712097,0.303791777571926,-30.9432357291411
